,HDD (degC-day),Location,lat,lon,rlat,rlon
445,4174.434,Wingham,43.89,-81.31,-2.474,11.249
446,3980.732,Woodstock,43.13,-80.76,-3.137,11.795
447,3686.856,Wyoming,42.95,-82.12,-3.511,10.854
448,4656.925,Acton-Vale,45.65,-72.56,0.796,16.813
449,5939.024,Alma,48.55,-71.65,3.745,16.501
450,6272.588,Amos,48.57,-78.12,2.575,12.377
451,4916.145,Asbestos,45.78,-71.94,1.054,17.185
452,4604.044,Aylmer,45.4,-75.84,-0.1,14.682
453,5921.843,Baie-Comeau,49.22,-68.15,5.151,18.448
454,5349.863,Baie-Saint-Paul,47.44,-70.51,2.941,17.583
455,5041.27,Beauport,46.87,-71.18,2.254,17.337
456,4467.094,Bedford,45.12,-72.99,0.2,16.685
457,4512.836,Beloeil,45.57,-73.2,0.585,16.41
458,4620.814,Brome,45.19,-72.57,0.356,16.947
459,4414.621,Brossard,45.46,-73.47,0.424,16.262
460,4823.89,Buckingham,45.59,-75.42,0.162,14.915
461,4852.195,Campbell's Bay,45.73,-76.6,0.08,14.082
462,4472.479,Chambly,45.45,-73.29,0.452,16.386
463,4857.71,Coaticook,45.13,-71.8,0.467,17.481
464,4595.215,Contrecoeur,45.86,-73.24,0.854,16.297
465,4556.054,Cowansville,45.21,-72.74,0.339,16.826
466,4522.433,Deux-Montagnes,45.54,-73.89,0.415,15.957
467,6022.435,Dolbeau,48.88,-72.23,3.939,16.033
468,4708.908,Drummondville,45.88,-72.48,1.032,16.796
469,4484.493,Farnham,45.28,-72.98,0.355,16.644
470,4898.233,Fort-Coulonge,45.84,-76.73,0.163,13.967
471,7705.589,Gagnon,51.93,-68.17,7.677,17.46
472,5756.062,Gaspé,48.82,-64.48,5.69,20.838
473,4586.904,Gatineau,45.43,-75.71,-0.046,14.762
474,5097.756,Gracefield,46.1,-76.05,0.537,14.356
475,4556.714,Granby,45.4,-72.72,0.524,16.782
476,6291.884,Harrington-Harbour,50.5,-59.48,8.589,23.066
477,6147.156,Havre-St-Pierre,50.25,-63.59,7.232,20.788
478,4327.962,Hemmingford,45.05,-73.59,0.007,16.302
479,4586.904,Hull,45.43,-75.71,-0.046,14.762
480,4466.594,Iberville,45.3,-73.23,0.321,16.47
481,8877.501,Inukjuak,58.45,-78.1,12.166,9.984
482,4732.673,Joliette,46.02,-73.44,0.965,16.117
483,8424.908,Kuujjuaq,58.1,-68.4,13.385,15.071
484,7788.837,Kuujjuarapik,55.28,-77.76,9.139,10.959
485,5372.766,La Pocatière,47.37,-70.03,2.983,17.913
486,4714.57,Lachute,45.66,-74.34,0.439,15.621
487,5210.016,Lac-Mégantic,45.57,-70.88,1.09,17.954
488,5464.077,La-Malbaie,47.65,-70.15,3.22,17.743
489,5603.061,La-Tuque,47.44,-72.78,2.456,16.125
490,4871.25,Lennoxville,45.37,-71.86,0.682,17.366
491,4401.03,Léry,45.34,-73.81,0.24,16.069
492,5069.32,Loretteville,46.85,-71.36,2.195,17.227
493,4973.645,Louiseville,46.26,-72.94,1.298,16.376
494,4758.893,Magog,45.26,-72.15,0.514,17.207
495,6061.315,Malartic,48.14,-78.13,2.156,12.473
496,5223.855,Maniwaki,46.37,-75.98,0.81,14.331
497,4779.772,Masson,45.54,-75.41,0.116,14.935
498,5583.065,Matane,48.84,-67.53,4.943,18.966
499,5495.759,Mont-Joli,48.59,-68.19,4.553,18.649
500,5404.127,Mont-Laurier,46.55,-75.5,1.072,14.602
501,5133.975,Montmagny,46.98,-70.56,2.495,17.702
502,4474.725,Beaconsfield,45.42,-73.87,0.304,16.005
503,5413.574,Dorval,46.44,-73.73,1.308,15.802
504,4486.779,Laval,45.55,-73.75,0.453,16.048
505,4384.687,Montréal (city hall),45.51,-73.55,0.455,16.194
506,4511.806,Montréal-Est,45.63,-73.52,0.576,16.179
507,4468.692,Montréal-Nord,45.59,-73.64,0.513,16.11
508,4337.171,Outremont,45.51,-73.61,0.443,16.153
509,4436.356,Pierrefonds,45.5,-73.85,0.385,15.995
510,4418.974,St-Lambert,45.5,-73.51,0.454,16.223
511,4405.633,St-Laurent,45.51,-73.68,0.429,16.107
512,4474.725,Ste-Anne-de-Bellevue,45.4,-73.95,0.268,15.957
513,4337.171,Verdun,45.46,-73.57,0.403,16.195
514,5033.167,Nicolet (Gentilly),46.4,-72.28,1.57,16.768
515,7887.31,Nitchequon,53.19,-70.91,8.289,15.443
516,6059.026,Noranda,48.24,-79.02,2.114,11.872
517,5373.306,Percé,48.52,-64.21,5.487,21.122
518,4456.849,Pincourt,45.36,-73.98,0.224,15.949
519,5063.297,Plessisville,46.22,-71.77,1.508,17.159
520,6673.232,Port-Cartier,50.02,-66.88,6.196,18.924
521,9230.35,Puvinrituq,60.04,-77.27,13.812,9.998
522,5061.497,Ancienne-Lorette,46.8,-71.36,2.148,17.243
523,5060.994,Lévis,46.76,-71.24,2.136,17.334
524,5046.44,Québec,46.81,-71.21,2.19,17.337
525,5060.994,Sillery,46.77,-71.25,2.144,17.324
526,5054.418,Ste-Foy,46.78,-71.28,2.147,17.301
527,4798.059,Richmond,45.67,-72.15,0.903,17.08
528,5394.532,Rimouski,48.45,-68.53,4.342,18.487
529,5468.097,Rivière-du-Loup,47.84,-69.54,3.537,18.065
530,5780.267,Roberval,48.52,-72.22,3.599,16.151
531,4831.885,Rock-Island,45.01,-72.1,0.287,17.318
532,4568.412,Rosemère,45.64,-73.79,0.531,15.995
533,6059.026,Rouyn,48.24,-79.02,2.114,11.872
534,5828.413,Saguenay,48.43,-71.06,3.757,16.91
535,5862.345,Saguenay (Bagotville),48.34,-70.88,3.71,17.053
536,5742.512,Saguenay (Jonquière),48.41,-71.25,3.697,16.797
537,5742.512,Saguenay (Kénogami),48.43,-71.23,3.72,16.803
538,4522.433,Saint-Eustache,45.56,-73.89,0.434,15.951
539,4478.657,Saint-Jean-sur-Richelieu,45.31,-73.25,0.326,16.454
540,4446.525,Salaberry-de-Valleyfield,45.26,-74.13,0.098,15.876
541,8354.116,Schefferville,54.8,-66.82,10.642,17.149
542,6213.867,Senneterre,48.39,-77.24,2.543,12.987
543,5708.789,Sept-Îles,50.21,-66.21,6.534,19.253
544,5171.374,Shawinigan,46.54,-72.75,1.604,16.417
545,4839.881,Shawville,45.6,-76.49,-0.026,14.19
546,4860.96,Sherbrooke,45.4,-71.89,0.704,17.337
547,4647.818,Sorel,46.04,-73.11,1.052,16.33
548,5277.001,Ste-Agathe-des-Monts,46.05,-74.28,0.825,15.55
549,5907.186,St-Félicien,48.65,-72.45,3.675,15.966
550,5462.149,St-Georges-de-Cacouna,47.92,-69.5,3.621,18.063
551,4449.046,St-Hubert,45.51,-73.43,0.48,16.274
552,5578.135,St-Hubert-de-Rivière-du-Loup,47.82,-69.15,3.608,18.319
553,4548.776,St-Hyacinthe,45.63,-72.95,0.695,16.559
554,4855.461,St-Jérôme,45.78,-74.0,0.622,15.814
555,5327.827,St-Jovite,46.12,-74.6,0.83,15.317
556,4565.383,St-Lazare-Hudson,45.4,-74.14,0.23,15.829
557,5076.765,St-Nicolas,46.7,-71.4,2.044,17.249
558,4593.704,Sutton,45.11,-72.62,0.269,16.937
559,5552.885,Tadoussac,48.14,-69.72,3.778,17.85
560,5259.473,Témiscaming,46.72,-79.1,0.622,12.165
561,4574.164,Terrebonne,45.69,-73.63,0.611,16.087
562,5129.438,Thetford Mines,46.09,-71.3,1.488,17.509
563,4834.636,Thurso,45.6,-75.24,0.206,15.033
564,4974.066,Trois-Rivières,46.34,-72.54,1.458,16.616
565,6078.905,Val-d'Or,48.1,-77.79,2.171,12.703
566,4534.059,Varennes,45.68,-73.44,0.641,16.217
567,4561.586,Verchères,45.78,-73.36,0.753,16.241
568,4980.592,Victoriaville,46.06,-71.96,1.315,17.084
569,5613.41,Ville-Marie,47.33,-79.44,1.164,11.802
570,4815.491,Wakefield,45.64,-75.93,0.115,14.558
571,4644.668,Waterloo,45.34,-72.52,0.51,16.934
572,4828.508,Windsor,45.57,-72.01,0.839,17.204
573,4390.964,Alma,45.6,-64.95,2.606,21.818
574,5078.601,Bathurst,47.62,-65.65,4.281,20.589
575,5679.977,Campbellton,48.01,-66.68,4.38,19.799
576,5547.711,Edmundston,47.36,-68.33,3.37,18.999
577,4756.538,Fredericton,45.96,-66.64,2.488,20.591
578,4471.411,Gagetown,45.78,-66.15,2.449,20.975
579,5335.575,Grand Falls,47.04,-67.74,3.215,19.489
580,4998.778,Miramichi,47.0,-65.57,3.73,20.878
581,4660.531,Moncton,46.09,-64.76,3.109,21.748
582,4642.598,Oromocto,45.84,-66.51,2.41,20.719
583,4638.745,Sackville,45.89,-64.37,3.032,22.076
584,5477.352,Saint Andrews ,45.07,-67.05,1.555,20.654
585,5159.464,Saint George ,45.13,-66.82,1.671,20.782
586,4840.182,Saint John,45.27,-66.06,2.001,21.226
587,4769.703,Shippagan,47.74,-64.71,4.638,21.127
588,5322.818,St. Stephen,45.19,-67.28,1.607,20.459
589,4840.779,Woodstock,46.16,-67.57,2.437,19.916
590,4602.655,Amherst,45.83,-64.21,3.022,22.202
591,4681.661,Antigonish,45.62,-61.99,3.469,23.704
592,4681.661,Bridgewater,45.62,-61.99,3.469,23.704
593,4481.118,Canso,45.34,-61.0,3.513,24.452
594,4140.972,Dartmouth,44.66,-63.57,2.133,23.087
595,4463.894,Debert,45.44,-63.46,2.877,22.841
596,3865.328,Digby,44.62,-65.76,1.481,21.671
597,4082.823,Greenwood (CFB),44.98,-64.9,2.049,22.094
598,4174.306,Halifax,44.65,-63.58,2.121,23.085
599,4075.917,Kentville,45.08,-64.49,2.255,22.321
600,3945.799,Liverpool,44.04,-64.72,1.235,22.582
601,4505.579,Lockeport,43.7,-65.11,0.812,22.456
602,4546.367,Louisburg,45.92,-59.97,4.351,24.845
603,3748.029,Lunenburg,44.38,-64.31,1.664,22.717
604,4434.265,New Glasgow,45.59,-62.64,3.25,23.303
605,4434.374,North Sydney,46.21,-60.26,4.522,24.535
606,4358.681,Pictou,45.68,-62.71,3.312,23.221
607,4692.107,Port Hawkesbury,45.62,-61.35,3.66,24.109
608,4522.635,Springhill,45.65,-64.06,2.899,22.371
609,4418.463,Stewiacke,45.14,-63.35,2.634,23.034
610,4547.024,Sydney,46.14,-60.2,4.477,24.603
611,4445.734,Tatamagouche,45.71,-63.29,3.172,22.839
612,4475.546,Truro,45.37,-63.28,2.864,22.985
613,4196.018,Wolfville,45.09,-64.36,2.301,22.401
614,3933.695,Yarmouth,43.84,-66.12,0.662,21.729
615,4529.119,Charlottetown,46.24,-63.13,3.701,22.722
616,4530.492,Souris,46.36,-62.26,4.06,23.22
617,4619.102,Summerside,46.39,-63.79,3.652,22.244
618,4744.981,Tignish,46.95,-64.03,4.097,21.866
619,4482.377,Argentia,47.31,-53.99,7.53,27.809
620,4833.084,Bonavista,48.66,-53.11,8.991,27.621
621,5303.502,Buchans,48.82,-56.85,7.899,25.38
622,7015.184,Cape Harrison,54.78,-57.95,12.809,21.876
623,4664.742,Cape Race,46.66,-53.08,7.289,28.682
624,4934.198,Channel-Port aux Basques,47.57,-59.14,6.08,24.609
625,4755.688,Corner Brook,48.95,-57.95,7.67,24.675
626,5027.839,Gander,48.95,-54.61,8.736,26.611
627,4647.259,Grand Bank,47.1,-55.77,6.745,26.858
628,5072.536,Grand Falls,48.95,-55.65,8.396,26.012
629,6869.114,Happy Valley-Goose Bay,53.3,-60.34,10.849,21.304
630,5584.806,Labrador City,51.37,-55.58,10.522,24.839
631,5584.806,St. Anthony,51.38,-55.59,10.528,24.829
632,4689.996,St. John's,47.56,-52.71,8.189,28.429
633,4756.801,Stephenville,48.55,-58.56,7.129,24.503
634,7913.407,Twin Falls,53.5,-64.53,9.967,18.919
635,4711.399,Wabana,47.64,-52.95,8.173,28.248
636,7809.071,Wabush,52.41,-66.87,8.416,18.031
637,7464.017,Aishihik,61.6,-137.51,19.128,-19.087
638,7966.518,Dawson,64.06,-139.44,21.686,-18.522
639,7743.648,Destruction Bay,61.25,-138.8,19.144,-19.838
640,7684.929,Faro,62.23,-133.36,18.732,-16.958
641,7328.786,Haines Junction,60.75,-137.51,18.394,-19.541
642,7631.965,Snag,62.4,-140.37,20.512,-19.858
643,6758.45,Teslin,60.17,-132.72,16.758,-17.655
644,7262.07,Watson Lake,60.06,-128.7,15.805,-15.817
645,6629.729,Whitehorse,60.72,-135.05,17.778,-18.455
646,9376.401,Aklavik,68.22,-135.01,24.319,-14.521
647,9381.923,Echo Bay / Port Radium,66.05,-117.88,19.742,-8.842
648,8625.197,Fort Good Hope,66.26,-128.63,21.45,-13.111
649,9129.897,Fort McPherson ,67.43,-134.88,23.609,-14.903
650,7441.057,Fort Providence,61.36,-117.66,15.205,-10.093
651,7500.594,Fort Resolution,61.17,-113.67,14.553,-8.216
652,7541.21,Fort Simpson,61.86,-121.36,16.199,-11.688
653,7264.84,Fort Smith,60.01,-111.88,13.236,-7.577
654,7327.029,Hay River,60.81,-115.79,14.441,-9.336
655,9531.394,Inuvik,68.36,-133.73,24.209,-13.993
656,12011.179,Mould Bay,76.23,-119.33,29.593,-5.97
657,8474.994,Norman Wells,65.28,-126.83,20.256,-12.811
658,8140.498,Rae-Edzo,62.83,-116.05,16.428,-8.939
659,9030.896,Tungsten,61.95,-128.27,17.452,-14.825
660,10572.958,Ulukhaqtuuq / Holman,70.74,-117.77,24.229,-7.37
661,8101.134,Wrigley,63.23,-123.46,17.812,-12.169
662,8067.538,Yellowknife,62.45,-114.38,15.875,-8.258
663,13215.775,Alert,82.51,-62.31,36.214,5.276
664,12441.02,Arctic Bay,73.03,-85.17,25.821,3.811
665,9721.124,Arviat,61.11,-94.06,13.638,1.461
666,10773.591,Baker Lake,64.32,-96.02,16.823,0.444
667,13080.519,Eureka,79.99,-85.94,32.652,2.27
668,10069.727,Igluligaarjuk / Chesterfield Inlet,63.34,-90.71,15.959,2.931
669,10356.84,Iqaluit,63.75,-68.52,18.62,12.859
670,11582.425,Iqaluktuuttiaq / Cambridge Bay,69.12,-105.05,21.78,-3.081
671,12636.555,Isachsen,78.78,-103.53,31.342,-1.485
672,10433.453,Kangiqiniq / Rankin Inlet,62.81,-92.09,15.383,2.325
673,11416.805,Kanngiqtugaapik / Clyde River,70.47,-68.59,24.83,10.093
674,10313.739,Kugluktuk,67.83,-115.1,21.174,-7.223
675,9597.482,Nottingham Island,63.12,-77.93,16.711,8.872
676,12182.442,Resolute,74.7,-94.83,27.209,0.644
677,7783.3,Resolution Island,61.31,-64.87,17.032,15.488
678,10753.264,Salliq / Coral Harbour,64.14,-83.17,17.198,6.266
